name,scholar_id,affiliation,interests,citedby,num_publications,coauthors_id
Roberto Solano,wDYHn8YAAAAJ,"Profesor de Investigacion CSIC, CNB","['Genetica Molecular de plantas', 'Genomica', 'Evolucion']",28540,137,[]
paul sawchenko,kL1vX4oAAAAJ,the salk institute,['neuroscience'],59815,298,"['CsQTBwsAAAAJ', 'cOGpTjoAAAAJ', '5LyAN5oAAAAJ', 'dVCtT9gAAAAJ', 'Y2H0W3UAAAAJ', 'VKSF0m0AAAAJ', 'GseT2dUAAAAJ', 'QAk-qhcAAAAJ', 'tEW9pSIAAAAJ', 'WzqmOG8AAAAJ', '855BlL0AAAAJ', 'Z50xLncAAAAJ', 'LjfGNNwAAAAJ', 'ouBIM90AAAAJ', 'QmUrvocAAAAJ', 'uK9M6WIAAAAJ', 'QP1jaR4AAAAJ', 'lG2XS40AAAAJ', 'N21fS14AAAAJ', '_LDbvwQAAAAJ', '527dlIMAAAAJ', 'VCRuT2sAAAAJ', 'dRaFdu0AAAAJ', '56ixTUQAAAAJ', '75gKyN4AAAAJ', 'TiB_8eoAAAAJ', 'ZTS2hocAAAAJ', '88ETbK0AAAAJ', 'lpaecBIAAAAJ', '6yXQDT0AAAAJ', 'DLXzRi8AAAAJ', 'ttufc38AAAAJ', 'gMtkxH4AAAAJ', 'jkZkI5UAAAAJ', 'SzFfXMcAAAAJ', '7HGJHUMAAAAJ', '2oTK5YsAAAAJ', 'fG_0lk8AAAAJ', 'SXCbynUAAAAJ', '3ClpsD8AAAAJ', 'w527mYsAAAAJ', 'EBZ9VcYAAAAJ', 'PXejtbcAAAAJ', '82pbzb4AAAAJ', 'MInvWHsAAAAJ', '1onbSxcAAAAJ', 'dK3C99gAAAAJ', 'DC5TEqAAAAAJ', 'HfGHRbr-9W4C', '2q3kQ24AAAAJ', 'xBYrHnIAAAAJ', 'mC-Adz4AAAAJ', '6GU0W_AAAAAJ', '74UVuJcAAAAJ', 'yfszxukAAAAJ', '2B0EcfAAAAAJ', '7oH4_ngAAAAJ', 'kdbaVAQAAAAJ', '0EEhcKoAAAAJ', 'H1VGKIIAAAAJ', '-ewYyDgAAAAJ', '5sdvn8oAAAAJ', 'XSunt3cAAAAJ', 'ITUu3jkAAAAJ', 't3iMESsAAAAJ', 'MB1ckEMAAAAJ', '6O9-_TIAAAAJ']"
Carlos G. Hernández Díaz-Ambrona (ORCID:0000-0003-1452-8757),BMzh_78AAAAJ,"Profesor de Producción Vegetal (Crop Ecology), Universidad Politécnica de Madrid, CEIGRAM, itdUPM","['Agricultura', 'Agriculture', 'Agroforestry', 'Crop modeling', 'Dehesas']",1704,288,"['k6FZK7MAAAAJ', 'W1uL0c8AAAAJ', 'q5SR8-8AAAAJ', 'hKGNyLkAAAAJ', 'xgl7xAUAAAAJ', 'ZlWjmwYAAAAJ', '9at8PAwAAAAJ', 'O3fzsjIAAAAJ', 'hrtNFzkAAAAJ', 'RQFNOoIAAAAJ', 'FDj5OJMAAAAJ', 'IxFYxuoAAAAJ', 'Vg78I_UAAAAJ', 'h_BMaBgAAAAJ', 'VDFFuMMAAAAJ', 'MThlD8oAAAAJ', '8GOtQpAAAAAJ', 'spnUuEEAAAAJ', '66UJwWcAAAAJ', '3e0NTncAAAAJ', 'zwHR4LEAAAAJ', 'J1Uj384AAAAJ', 'RsTfCYgAAAAJ', '-kf1SpAAAAAJ', 'ksH7prkAAAAJ', 'UKxxEQgAAAAJ', 'gA6TsFIAAAAJ', 'FTY_c34AAAAJ', 'sAtKs4MAAAAJ', 'urOgg60AAAAJ', 'qCSj4r0AAAAJ', '21zuA5MAAAAJ', 'Dn1ofkEAAAAJ', 'XbCmnLQAAAAJ', 'Nh247i_SzjYC', 'hpRyzOAAAAAJ']"
Enrique Cadenas,_CGxVh8AAAAJ,University of Southern California,[],37334,477,"['z6QDnOUAAAAJ', 'aOh2ew0AAAAJ', '92ugCesAAAAJ', 'QqwsrpoAAAAJ', 'Lc8PRowAAAAJ', '72zpXCAAAAAJ', 'FBJ8ciwAAAAJ', 'n7D_TzIAAAAJ', '6NWBRAgAAAAJ', 'T2TJAxoAAAAJ', 'LGztdoYAAAAJ']"
Lukas Stelzl,3wdg2ZMAAAAJ,Johannes Gutenberg University Mainz and Institute of Molecular Biology (IMB),"['disordered proteins', 'liquid-liquid phase separation', 'nucleic acids', 'molecular dynamics', 'NMR']",811,36,"['_n4wwIEAAAAJ', 'mBFHFmQAAAAJ', '7wXezIwAAAAJ', 'Ao9HoBUAAAAJ', 'BeUd2JoAAAAJ', 'wrgmQNAAAAAJ', 'MohqMDAAAAAJ', 'a5F1Bw8AAAAJ', '4BfuubAAAAAJ', 'URfIa6AAAAAJ', '_YRRIxsAAAAJ', 'Mg9vd4MAAAAJ', '6vllJGkAAAAJ', 'fKnKAgoAAAAJ', 'eniK5LgAAAAJ', 'EOY3m7AAAAAJ', '-tb2pYcAAAAJ', 'JLXgweUAAAAJ', '-kSHb0cAAAAJ', 'lZbWo0kAAAAJ']"
David Connor,KVmEcN0AAAAJ,The University of Melbourne,"['Productivity and water relations of crops', 'cropping systems', 'sustainability']",10550,198,"['Dn1ofkEAAAAJ', 'oV70RBcAAAAJ', '2zOqGY8AAAAJ', 'crRohGUAAAAJ', 'AAkGDlgAAAAJ', 'XT7qkKIAAAAJ', 'd7wnjJAAAAAJ', 'OCy3W6QAAAAJ', 'DRvhOvMAAAAJ', 'ZEDhbjAAAAAJ', 'S_jaaUYAAAAJ', 'DVuZR_cAAAAJ', '7TpOqtkAAAAJ', 'gNad8mMAAAAJ', 'TlYYSV0AAAAJ', 'pDDtv4AAAAAJ', 'hBUerNUAAAAJ', 'r59JeiUAAAAJ', 'tWl-y2MAAAAJ', 'zqUbynoAAAAJ', '8SR5ATEAAAAJ', 'AK65OVoAAAAJ', 'WcySQHIAAAAJ', '53TxOYkAAAAJ', 'mA1v4_8AAAAJ', 'yd0iZkEAAAAJ', 'a6OiRLsAAAAJ', 'la3p2-oAAAAJ', '2CS3QH8AAAAJ', 'BMzh_78AAAAJ', '7h-K8_0AAAAJ']"
Robert W Heckman,SbRSEvQAAAAJ,"US Forest Service, Rocky Mountain Research Station",['Ecology        Evolution        Genetics'],1951,36,"['wRUow4cAAAAJ', '8h7X2ooAAAAJ', 'V1GzZ0MAAAAJ', 'CD6IAXYAAAAJ', 'jiehiUwAAAAJ', 'joLH46AAAAAJ', 'lvsyfmwAAAAJ', 'SD6gpOAAAAAJ', '6_wqtu4AAAAJ', 'iqlfboYAAAAJ', '8HOknMEAAAAJ']"
Mathias Disney,aNQ8iMoAAAAJ,"Professor of Remote Sensing, University College London, Geography","['Remote sensing', 'radiative transfer', 'terrestrial lidar', 'biomass', 'albedo']",12624,291,"['K8DPnCEAAAAJ', 'D0Z7jcsAAAAJ', 'h8nj480AAAAJ', 'asJAsXQAAAAJ', 'UFJDirUAAAAJ', 'CIlLfoMAAAAJ', 'ldF3hbYAAAAJ', 'Vv2eHGMAAAAJ', 'Eo7xJKsAAAAJ', 'xtpXBesAAAAJ', '2uT3Bk8AAAAJ', 'RSCPnJoAAAAJ', '0X7WYK0AAAAJ', 'zU3s5scAAAAJ', 'sYriUq8AAAAJ', 'ymyYqB4AAAAJ', 'hiz2BRYAAAAJ', 'Ze9R6PcAAAAJ', '0u_TtAIAAAAJ', 'r75hJgcAAAAJ', '3q8cduUAAAAJ', 'scr1MX8AAAAJ', 'o3be1b8AAAAJ', 'kXiHA2IS9jUC', 'NczWU8AAAAAJ', 'T4xzRBwAAAAJ']"
Nicholas Provart,DW8EhwMAAAAJ,"Professor and Departmental Chair, Cell & Systems Biology, University of Toronto","['bioinformatics', 'cyberinfrastructure', 'Arabidopsis', 'data visualization', 'transcriptomics']",18208,171,"['O1OG59oAAAAJ', 'Yx5hx44AAAAJ', 'cXhUFV8AAAAJ', 'RO3WN1wAAAAJ', 'TmhHwmQAAAAJ', 'lQmvO3cAAAAJ', 'O0KuRBQAAAAJ', 'YmU7-7MAAAAJ', 'ljr_7eEAAAAJ', 'ftQ9vSgAAAAJ', 'SjuNdP0AAAAJ', 'gSR0btEAAAAJ', '5I_knLIAAAAJ', 'JoFVg7cAAAAJ', 'Wkzb8OcAAAAJ', '1WY1xDwAAAAJ', 'o5gmOHMAAAAJ', '8QVMwawAAAAJ', 'Cb_ho1AAAAAJ', 'uj4kLAMAAAAJ', 'MOaFLkMAAAAJ', 'AGN14uwAAAAJ', 'PtT4-xsAAAAJ', 'yRxJHk4AAAAJ', 'yJ6AVWsAAAAJ', 'MACDiEEAAAAJ', 'pNRwrlUAAAAJ', 'R6tDbR0AAAAJ', 'H_TzgosAAAAJ', 'JVTDNOwAAAAJ', '3jXtV_8AAAAJ']"
Bing Yang,epojgGUAAAAJ,Christopher S. Bond Life Sciences Center - University of Missouri; Danforth Center,"['Plant Molecular Biology', 'Biotechnology']",16013,136,[]
