name,scholar_id,affiliation,interests,citedby,num_publications,coauthors_id
Saunak Sen,ChaLuW8AAAAJ,"Professor of Biostatistics, University of Tennessee Health Science Center",[],18445,258,[]
Maria von Korff,goaqv1YAAAAJ,Heinrich Heine University Düsseldorf,"['Barley', 'Development', 'Abiotic stress resistance']",5713,77,[]
Patrick J. Dickinson,0Brti0cAAAAJ,University of Cambridge,[],209,8,[]
Alberto Fereres,A7fGRWwAAAAJ,Professor CSIC,"['Entomology', 'Plant Pathology']",10419,396,"['2DgVLfIAAAAJ', 'pMIekm0AAAAJ', 'RlTbQ4IAAAAJ', 'v2aolVUAAAAJ', 'cfT-PM0AAAAJ']"
Elizabeth S. Dennis,JH2zKvYAAAAJ,CSIRO Plant Industry,['Plant Biology'],46870,490,[]
Chen Gu,wuphzTEAAAAJ,Massachusetts Institute of Technology,[],1369,14,[]
Teun Munnik,sI2iGH8AAAAJ,"Head Plant Cell Biology, University of Amsterdam","['stress signalling in plants', 'lipid signalling', 'phosphoinositides']",16702,202,[]
Evelyne Costes,GMzw-RAAAAAJ,INRAE,[],6772,394,"['1IZHN3wAAAAJ', '9OehV6UAAAAJ', 'JO6wlVkAAAAJ', 'dDTuryIAAAAJ', 'xJSIws0AAAAJ', 'GF5dDPsAAAAJ', 'pbEntO0AAAAJ', 'Ldh87goAAAAJ', 'eyJu6uUAAAAJ', '-ydrRNMAAAAJ', 'ISrKOVgAAAAJ', '_9ukgP4AAAAJ', '2N4uw5sAAAAJ', 'tXUirE5dUMQC', '5qGg0D8AAAAJ', 'pjH7e8IAAAAJ', 'Vkr-PPUAAAAJ', 'RUE1dusAAAAJ', 'rVKpI4sAAAAJ', '4MPfRjgAAAAJ']"
Mark Lange (Bernd Markus Lange),ZehLrSkAAAAJ,"Professor, Institute of Biological Chemistry, Director, M.J. Murdock Metabolomics Laboratory","['biochemistry', 'mathematical modeling', 'metabolomics', 'plant biology', 'systems biology']",14241,116,"['lAHsmIwAAAAJ', 'ju3NXOoAAAAJ', 'tf-xm1QAAAAJ', 'en-j3nQAAAAJ', '6BXzO88AAAAJ', 'Yx5hx44AAAAJ', 'Zav_vpQAAAAJ', 'P6b5gfEAAAAJ', '8dM4Cj0AAAAJ', 'jMuT4wEAAAAJ', 'gzvZ8jkAAAAJ', 'GgLOTdgAAAAJ', 'aTmdqpYAAAAJ', 'EWimgbcAAAAJ', 'GHA2TtYAAAAJ', 'ms16utkAAAAJ', '6ClEvkoAAAAJ', 'O7h12QUAAAAJ', 'u1RWUzIAAAAJ', 'atV56FkAAAAJ', 'CPIxfloAAAAJ', 'frUUZZAAAAAJ', 'lDWW5J0AAAAJ', 'Js6inH0AAAAJ', 'ibG7L74AAAAJ', 'H92j-LIAAAAJ', 'UalP_FwAAAAJ', 'AQyMJsAAAAAJ', '6GU0W_AAAAAJ', 'mkllL8oAAAAJ', '2dh5Fd0AAAAJ', 'OjZIyO0AAAAJ', 'ccHzTFIAAAAJ', '8lA5hOcAAAAJ', 'sK2d-6YAAAAJ', 'VYukyS8AAAAJ', 'Lc8HJ6EAAAAJ', 'xzNOm3kAAAAJ', 'DiRV8PcAAAAJ', '_XBu2EAAAAAJ', 'dW39UcQAAAAJ', 'AGN14uwAAAAJ', 'PtT4-xsAAAAJ', 'IuYj3NsAAAAJ', '3uHQIOkAAAAJ', 'uojKM0oAAAAJ', 'DW8EhwMAAAAJ', 'TmhHwmQAAAAJ', 'JVTDNOwAAAAJ']"
Christian Stoeckert,Ay7qAI4AAAAJ,"Reseach Professor of Genetics, University of Pennsylvania","['Bioinformatics', 'Genomics', 'Ontologies']",31267,273,[]
Anja Nenninger,Ob63snkAAAAJ,University of Exeter,"['microbiology', 'cyanobacteria', 'FRAP', 'bacterial cell biology']",1175,24,"['Dr13WaUAAAAJ', 'X07BfzgAAAAJ', 'VKsOzX0AAAAJ', 'omppMYYAAAAJ']"
András Viczián,OrjZe0cAAAAJ,Biological Research Centre,[],1910,45,"['wxZ4dL4AAAAJ', 'EZhch-MAAAAJ', '1kJ5xGcAAAAJ', 'nyEiVF8AAAAJ', 'x0tQ6g0AAAAJ', 'IOq4tUIAAAAJ', 'mM2nc5MAAAAJ', '6pNkPrwAAAAJ', 'dEQP81MAAAAJ', 'Dsr_4C4AAAAJ', '-e_5bl8AAAAJ', 'wpwL6pgAAAAJ', 'hAE2DBIAAAAJ', 'zl3Bxt4AAAAJ', 'KANRFd8AAAAJ', '2jMljrQAAAAJ', 'XPMNpykAAAAJ', 'M86j41oAAAAJ', 'xk-WIFMAAAAJ', 'IujmWPcAAAAJ', 'xkVYxaUAAAAJ', '9ltrZX8AAAAJ', 'uurQUZIAAAAJ', 'TM_16JoAAAAJ', 'GrRMWC0AAAAJ', 'rkSTLLsAAAAJ', '2Euk0dgAAAAJ', 'xc3ju04AAAAJ', '4FNFtoAAAAAJ', 'b1C_YWoAAAAJ', 'eJzIlkoAAAAJ', 'EXxLPmwAAAAJ', '_qIW_PEAAAAJ', 'WNu-f0QAAAAJ', '9vov8TUAAAAJ', '6CmRLeUAAAAJ', 'ULQ5t8gAAAAJ', 'wkIp1dkAAAAJ', '_YGcagEAAAAJ', 'O_njxHUAAAAJ', 'R4hqVckAAAAJ', 'Bx84jHgAAAAJ', 'naV7jr8AAAAJ', 'r-0nJYcAAAAJ', 'xhv5tq0AAAAJ', 't13Tc74AAAAJ']"
Katja Jaeger,1tDFrWIAAAAJ,Fellow Sainsbury Laboratory  University of Cambridge,['developmental biology'],6258,37,[]
Benjamin Blackman,J2xAQBgAAAAJ,"Associate Professor, University of California, Berkeley","['Evolution', 'Adaptation', 'Speciation', 'Domestication', 'Flowering Time']",4468,60,[]
Lars-Oliver Essen,dKr54e4AAAAJ,Philipps University,"['Structural biology', 'photoreceptors', 'membrane and cell wall proteins']",12249,226,"['sVX44K0AAAAJ', '1QPyBqQAAAAJ', '2mzokV0AAAAJ', 'oo9s65gAAAAJ', '0AZhGhsAAAAJ', 'aPkvB9sAAAAJ', 'EardHKwAAAAJ', 'JQM9r0MAAAAJ', 'X6rDITIAAAAJ', 'oeKECzsAAAAJ', 'lv--eEAAAAAJ', 'wpBlSSMAAAAJ', 'aOkeb_4AAAAJ', 'r4_O6q0AAAAJ', 'Pyx4UlQAAAAJ', 'uDxKG8YAAAAJ', 'bM3RHCcAAAAJ', 'CG0kYJMAAAAJ', '-GD49YIAAAAJ', '1FQi50wAAAAJ', 'SZ2sK4UAAAAJ', 'Sh7xy4YAAAAJ', 'XDAr5i0AAAAJ', '__TTsB0AAAAJ', '4KSwjoMAAAAJ', 'aE-VTpMAAAAJ', '_FgiI_gAAAAJ', 'SoNEZA8AAAAJ', 'MoI7hB0AAAAJ', '0XTmVmoAAAAJ', 'XdIEgIMAAAAJ', 'XQN2kK8AAAAJ', 'bfywzJwAAAAJ', 'RxkztuIAAAAJ', 'FXK-qycAAAAJ']"
Rubén Alcázar,CCUeYtsAAAAJ,"Associate Professor, University of Barcelona",['Plant Sciences'],6196,84,"['UxcsPQkAAAAJ', 'gmleCCsAAAAJ', 'MQr4SGEAAAAJ', 'mBycqEwAAAAJ', 'Ws8qg80AAAAJ', 'mXptns8AAAAJ', '-scHH_UAAAAJ', 'CPIxfloAAAAJ', '9TsDQogAAAAJ', 'FSpwx5YAAAAJ', 'f3di15kAAAAJ', 'VgzYS6IAAAAJ', 'tMRVsS0AAAAJ', 'lAKyB0wAAAAJ', 'CcOf8ycAAAAJ', 'v5xXwzYAAAAJ', 'zKF9_HoAAAAJ']"
Alejandro Colman-Lerner,TFWiQ_wAAAAJ,"Professor, Department of Physiology, Molecular and Cellular Biology, University of Buenos Aires","['Molecular Biology', 'Systems Biology', 'Signal Transduction', 'Quantitative Biology']",3148,82,"['343D00EAAAAJ', 'apGnLtwAAAAJ', 'gFXgfpkAAAAJ', 'O19Ub0MAAAAJ', '-crrFJYAAAAJ', '2NX8v24AAAAJ', 'skxQMs8AAAAJ', 'MaB8PC0AAAAJ', 'mPCEFOsAAAAJ']"
Ulrich Krauss,19F04ZAAAAAJ,"Head of Group Molecular Biophotonics, IMET - HHU Düsseldorf, IBG-1 - FZ-Jülich","['photobiology', 'biochemistry', 'biophysics', 'photoreceptors', 'protein engineering']",2415,75,[]
Sumit K. Chanda,sj4qs04AAAAJ,"Professor, Scripps Research","['Systems Biology', 'Drug Discovery', 'innate Immunity', 'Host-Pathogen Interactions', 'Drug Discovery']",21751,160,"['HiPX4YcAAAAJ', 'ORyRh20AAAAJ', 'RHkAFW8AAAAJ', '_JFStaIAAAAJ', 'KnAit3cAAAAJ', 'ES0kjq0AAAAJ', 'CID6VXYAAAAJ', 'GseT2dUAAAAJ', 'vivnVgIAAAAJ', 'r6NVrQUAAAAJ']"
Mariano Perales,YZAdiX8AAAAJ,"CBGP (UPM-INIA) Madrid, Spain",['Plant development - Transcriptional regulation'],2305,43,"['Dv-TO28AAAAJ', '2X5a4wwAAAAJ', 'g1WyIdsAAAAJ', 't05Ppf0AAAAJ', 'mLiG-2MAAAAJ', 'bqDEuX0AAAAJ', 'QjoDLv4AAAAJ', 'l0Q_Y3sAAAAJ', '_Y55rMsAAAAJ', 'WEWBNJ8AAAAJ', 'X9Q_80UAAAAJ', 'jUeVqfMAAAAJ', 'hW2lwAgAAAAJ', '3RAUzdIAAAAJ', 'BejrygEAAAAJ', 'fvIontMAAAAJ', 'Ifb5EqMAAAAJ', '8qqqUuQAAAAJ', 'oEnnwZIAAAAJ', 'S7pTMb4AAAAJ', 'BsjZQtIAAAAJ', 'rFBGubQAAAAJ', 'NtAsZK-2HjcC', 'iuBGuyIAAAAJ', '0-_9TGcAAAAJ', 'hfgwx0oAAAAJ']"
Gustavo A. Slafer,DVuZR_cAAAAJ,"ICREA, AGROTECNIO and University of Lleida","['Crop Physiology', 'Agronomy', 'Crop Science']",27894,418,[]
Anne Pfeiffer,6zOh8VsAAAAJ,Unknown affiliation,['Plant Biology'],1240,15,[]
Fang Chen,EMVGAKgAAAAJ,"Distinguished Professor, University of Technology Sydney","['Machine Learning', 'pattern recognition', 'human manchine interaction', 'behaviour analytics', 'cognitive modelling']",9324,471,"['xJCM8XQAAAAJ', 'Il9ZgigAAAAJ', 'D2QbXPQXqbgC', 'VzA-vskAAAAJ', 'VMf3wfMAAAAJ', 'djH4uoQAAAAJ', 'cIBDhtcAAAAJ', 'o1icFYgAAAAJ', 'hZe90K4AAAAJ', 'EJN3SLkAAAAJ', 'o7OfErXuEJIC']"
Richard D Vierstra,xkVYxaUAAAAJ,"George & Charmaine Professor of Biology, Washington University in St. Louis","['plants', 'ubiquitin', 'autophagy', 'photomorphogenesis', 'phytochrome']",51742,355,[]
Eric A Pierce,Kxuj40kAAAAJ,"Ophthalmology, Harvard Medical School and Mass Eye and Ear","['Inherited Retinal Degenerations', 'Genomics', 'Gene Therapy']",17140,160,"['cQbr0xgAAAAJ', 'WnxjmpcAAAAJ', 'skPlS_oAAAAJ', 'd085PeAAAAAJ', 'w2LH7y0AAAAJ', 'J9q-N6gAAAAJ', 'uPcZirEAAAAJ', '5PvnKHUAAAAJ', 'BmwuDzcAAAAJ', 'CVCoaVUAAAAJ', 'xvks_GMAAAAJ', 'WPJnV70AAAAJ', 'frmlZdAAAAAJ', 'ehGs9lwAAAAJ', '2mSMwYYAAAAJ', 'ey2uKvgAAAAJ', 'fmIU_wIAAAAJ']"
Michele Morgante,-42meGUAAAAJ,"Professore di Genetica, Università di Udine, Istituto di Genomica Applicata","['genomica', 'epigenetica']",42228,455,[]
Anders V. Lindfors,WjrTMHUAAAAJ,Finnish Meteorological Institute,"['atmospheric radiation', 'solar energy', 'wind energy', 'numerical weather prediction', 'remote sensing']",3238,130,"['mA1v4_8AAAAJ', 'n2-YEAoAAAAJ', 'plzw-oUAAAAJ', 'i4Tg6JAAAAAJ', 'QYEEC-4AAAAJ', 'gRMFNbsAAAAJ', 'A52SklYAAAAJ', 'BmzBAloAAAAJ', 'PN9lIYsAAAAJ', 'wSfvB5UAAAAJ', 'jPmzpkgAAAAJ', 'JeFaiWQAAAAJ', 'fSaMn7cAAAAJ', 'okuISq4AAAAJ', 'zZDOxTAAAAAJ', 'SLjq8jAAAAAJ', 'VOjgUIoAAAAJ', 'P19G9lcAAAAJ', 'mJmSHWEAAAAJ', 'v2Jj-bUAAAAJ', 'SbjR5hYAAAAJ', 'UqubDBkAAAAJ', 'RQZ1Hk0AAAAJ', 'kWCe0nsAAAAJ', 'NvtFfV4AAAAJ', 'xPHKa_IAAAAJ']"
Justin  Goodrich,2IgKFDQAAAAJ,University of Edinburgh,['Plant Biology'],7250,66,[]
EMİNE BUDAKLI ÇARPICI,25g7OeAAAAAJ,Bursa Uludağ Üniversitesi Ziraat Fakültesi Tarla Bitkileri Bölüm,['Tarla bitkileri Çayır mera ve yem bitkileri'],930,74,[]
Péter Gyula,IOq4tUIAAAAJ,Hungarian University of Agriculture and Life Sciences,"['small RNAs', 'epigenetics', 'bioinformatics']",1401,37,"['wxZ4dL4AAAAJ', '6pNkPrwAAAAJ', 'ASTaJiQAAAAJ', 'dEQP81MAAAAJ', 'nyEiVF8AAAAJ', 'TM_16JoAAAAJ', 'mM2nc5MAAAAJ', 'EZhch-MAAAAJ', 'j2KX3hMAAAAJ', '92KINMAAAAAJ', 'XPMNpykAAAAJ', 'KANRFd8AAAAJ', '7GraQbMAAAAJ', 'GrRMWC0AAAAJ', 'uurQUZIAAAAJ', 'IRZikS0AAAAJ', 'Hkx1uSsAAAAJ', 'aLh6dDYAAAAJ', '1IgVkMgAAAAJ', 'M86j41oAAAAJ', 'Dsr_4C4AAAAJ', '9ltrZX8AAAAJ', 'IDR3l3QAAAAJ', 'Vfxq9B4AAAAJ', '-CBTAEMAAAAJ', 'Tuf8Pw4AAAAJ', '62xXdPoAAAAJ', 'LXHZfD8AAAAJ', 'Futw550AAAAJ', 'u0dRcMAAAAAJ', 'wQSRT18AAAAJ', '5vgmaRUAAAAJ', 'GsIGQLUAAAAJ', '7ioC0XMAAAAJ', 'rTS-La8AAAAJ', '1ZziIxEAAAAJ', 'u2_7H8wAAAAJ', 'eKV82RgAAAAJ', '14K2mxoAAAAJ', 'qpUsynEAAAAJ', 'a9WpacwAAAAJ']"
Ole N. Jensen,k2vWv7IAAAAJ,"Professor, University of Southern Denmark","['Protein sciences', 'mass spectrometry', 'proteomics']",43223,604,[]
Patricio Grassini,cabG52oAAAAJ,"Professor, Agronomy, University of Nebraska-Lincoln","['Agronomy', 'Crop systems', 'Yield gaps', 'Water productivity']",11490,113,"['crRohGUAAAAJ', 'txJ1XawAAAAJ', 'f2TKUWAAAAAJ', 'GIIA67UAAAAJ', '0v-MjcAAAAAJ', 'phy35rgAAAAJ', 'Ah47oOAAAAAJ', 'mC8J_ksAAAAJ', '33CD7DIAAAAJ', 'Womb5u0AAAAJ', 'O1Y9SAUAAAAJ', 'kzqZIXwAAAAJ', 'Dn1ofkEAAAAJ', 'jsKzIKQAAAAJ', 'SYNlKRoAAAAJ', 'Cr0zsIkAAAAJ', 'wpMBllYAAAAJ', 'oOrjGfQAAAAJ', 'MnwfxyAAAAAJ', '5ev9000AAAAJ', '8K9h1ywAAAAJ', '8_E7tt8AAAAJ', 'biuzU-AAAAAJ', 'H1UkJhEAAAAJ', 'EYTA6nQAAAAJ', '8RAX-5gAAAAJ', 'M4bOJ7oAAAAJ', 'tNTu2YcAAAAJ', 'tfFSPygAAAAJ', 'xi5Ee1kAAAAJ', 'oV70RBcAAAAJ', 'QU5N9fMAAAAJ', 'eOyg0ncAAAAJ', '-afquAwAAAAJ', 'tg_XN1sAAAAJ', 'mduVU7cAAAAJ', 'izy6EFkAAAAJ', 'Y9FApJ4AAAAJ', 'BHcWt_kAAAAJ', 'dcVJ7KoAAAAJ', '8VB0rLsAAAAJ', 'grhgSoAAAAAJ', 'J6R6paQAAAAJ', 'FOnRioYAAAAJ', 'KA7t950AAAAJ', 'QoS_OTEAAAAJ', 'jzTpsJ0AAAAJ', '6WJGE9EAAAAJ', 'b4COOxIAAAAJ', 'wW-l1boAAAAJ', 'Zwi-r30AAAAJ', 'aBg5TbEAAAAJ', 'x4Bnt9kAAAAJ', 'L205DzoAAAAJ', 'aBkrabAAAAAJ', '9Zp4-F8AAAAJ', 'onO8cLMAAAAJ', 'kifMkUsAAAAJ', 'r3K_8CoAAAAJ', 'mlVVmzsAAAAJ', 'ojisDVcAAAAJ', 'cmSufW8AAAAJ', '34oVqnIAAAAJ', 'NR1sEq8AAAAJ', 'HZJI6jUAAAAJ', '8Oj027MAAAAJ', 'x9_-awkAAAAJ', 'bNIcOXEAAAAJ', 'EItklH0AAAAJ', 'TKGciz0AAAAJ', 'u4sRVlwAAAAJ', 'LtNv0AcAAAAJ', '7oO7_jIAAAAJ', 'gVMnQfAAAAAJ', 'htxP24IAAAAJ', 'a-S6ofoAAAAJ', 'yJwANO8AAAAJ', 'yWcOKokAAAAJ', 'TAS6ouUAAAAJ', 'Q2JWrRkAAAAJ', 'Nicu1QgAAAAJ']"
Celia Miguel,bp6yH18AAAAJ,"Faculdade de Ciências, Universidade de Lisboa; IBET",['Biologia'],2658,110,"['nUsYyiEAAAAJ', '07G_jScAAAAJ', 'tcMBGKIAAAAJ', 'KNPseK8AAAAJ', '3rj_Z30AAAAJ', 'vqxvVxQAAAAJ', 'tBs2BVMAAAAJ', 'vO_fB-IAAAAJ', 'FFn4aUUAAAAJ', 'mL-2brQAAAAJ', '20Mokm8AAAAJ', 'sc3lRKEAAAAJ', '2aQt0zQAAAAJ', 'tMRVsS0AAAAJ', 'gaeieR0AAAAJ', '1d5qsg4AAAAJ', 'LTZxiAwAAAAJ', 'FrYykeQAAAAJ', 'HRcHV4gAAAAJ', 'WzT56zUAAAAJ', 'nwAyU_cAAAAJ', 'DwXbSlMAAAAJ', 'lAKyB0wAAAAJ', 'OFyo6iEAAAAJ', 'aPkrCSYAAAAJ', 'xLw0uRQAAAAJ', 'ahV2TpcAAAAJ', '8pu-3x0AAAAJ', 'ezf6lvcAAAAJ', 'oIvOU-UAAAAJ', 'MWZ8C58AAAAJ']"
Ryan M. O'Connell,OsqwxfIAAAAJ,"Professor of Pathology, University of Utah",['Inflammation - Cancer - Noncoding RNAs'],21080,160,[]
Dr Aimone Porri,DdnQ04gAAAAJ,BASF SE,[],1258,28,[]
Raymond J  Owens,x3zc5fkAAAAJ,University of Oxford,['Rosalind Franklin Institute'],14002,293,[]
Vinh Ngoc Pham Ph.D.,ohkcVKwAAAAJ,Senior Bioinformatics Support Scientist at Illumina Inc.,"['Molecular Genetics', 'Genomics']",550,6,[]
Alejandro Ferrando,Ws8qg80AAAAJ,Instituto de Biología Molecular y Celular de Plantas-CSIC,"['Bioquímica', 'Biología Molecular', 'Biología Celular', 'Genética', 'Biología Vegetal']",3280,45,"['CXBrIRAAAAAJ', 'UxcsPQkAAAAJ', 'lAKyB0wAAAAJ']"
Aino Smolander,fp3Jo_cAAAAJ,"Natural Resources Institute Finland, Luke, principal researcher",['soil science'],7934,280,[]
